scenario_id,rail_1,rail_2,rail_3,rail_4
1,1037,1025,1045,1048
2,1062,1003,1006,1004
3,1029,1003,1006,1007
4,1025,1047,1062,1045
5,1003,1043,1022,1013
6,1048,1006,1019,1004
7,1037,1062,1003,1033
8,1050,1056,1059,1053
9,1030,1001,1034,1011
10,1046,1063,1026,1023
11,1014,1020,1044,1038
12,1008,1017,1040,1049
13,1017,1023,1020,1044
14,1001,1017,1020,1038
15,1036,1030,1008,1048
16,1004,1044,1011,1038
17,1005,1043,1022,1011
18,1042,1046,1047,1016
19,1041,1014,1063,1028
20,1061,1052,1058,1055
21,1031,1025,1024,1001
22,1018,1015,1012,1021
23,1075,1074,1073,1072
24,1064,1024,1005,1063
25,1066,1040,1044,1000
26,1076,1000,1010,1038
27,1077,1003,1043,1019
28,1071,1070,1068,1069
29,1088,1089,1090,1091
30,1037,1025,1045,1048
