team_level,total_exp,max_stamina,over_limit_stamina,recover_stamina_count
1,0,20,999,30
2,24,20,999,30
3,32,21,999,30
4,40,21,999,30
5,48,22,999,30
6,64,22,999,30
7,80,23,999,30
8,96,23,999,30
9,120,24,999,30
10,168,24,999,30
11,224,25,999,30
12,280,25,999,30
13,344,26,999,30
14,420,26,999,30
15,502,27,999,30
16,584,28,999,30
17,666,30,999,30
18,748,35,999,30
19,830,40,999,30
20,930,45,999,30
21,1040,50,999,30
22,1178,55,999,30
23,1316,60,999,30
24,1458,70,999,30
25,1604,80,999,30
26,1755,85,999,30
27,1910,85,999,30
28,2070,86,999,30
29,2235,87,999,30
30,2405,88,999,30
31,2579,89,999,30
32,2760,90,999,30
33,2945,91,999,30
34,3136,92,999,30
35,3333,93,999,30
36,3535,94,999,30
37,3744,95,999,30
38,3974,96,999,30
39,4226,97,999,30
40,4504,98,999,30
41,4810,99,999,30
42,5152,100,999,30
43,5535,101,999,30
44,5965,102,999,30
45,6446,103,999,30
46,7004,104,999,30
47,7651,105,999,30
48,8401,106,999,30
49,9272,107,999,30
50,10282,108,999,30
51,11454,109,999,30
52,12813,110,999,30
53,14389,111,999,30
54,16159,112,999,30
55,17929,113,999,30
56,19699,114,999,30
57,21469,115,999,30
58,23239,116,999,30
59,25009,117,999,30
60,26779,118,999,30
61,28549,119,999,30
62,30319,120,999,30
63,32089,121,999,30
64,33859,122,999,30
65,35629,123,999,30
66,38284,124,999,30
67,40939,125,999,30
68,43594,126,999,30
69,46249,127,999,30
70,48904,128,999,30
71,51559,129,999,30
72,54214,130,999,30
73,56869,131,999,30
74,59524,132,999,30
75,62179,133,999,30
76,64834,134,999,30
77,68374,135,999,30
78,71914,136,999,30
79,75454,137,999,30
80,78994,138,999,30
81,82534,139,999,30
82,86074,140,999,30
83,89614,141,999,30
84,93154,142,999,30
85,96694,143,999,30
86,100234,144,999,30
87,103774,145,999,30
88,107314,146,999,30
89,110854,147,999,30
90,114394,148,999,30
91,117934,149,999,30
92,121474,150,999,30
93,125014,151,999,30
94,128554,152,999,30
95,132094,153,999,30
96,135634,154,999,30
97,139174,155,999,30
98,142714,156,999,30
99,146254,157,999,30
100,149794,158,999,30
101,153334,159,999,30
102,157759,160,999,30
103,162184,161,999,30
104,166609,162,999,30
105,171034,163,999,30
106,175459,164,999,30
107,179884,165,999,30
108,184309,166,999,30
109,188734,167,999,30
110,193159,168,999,30
111,197584,169,999,30
112,202009,170,999,30
113,206434,171,999,30
114,210859,172,999,30
115,215284,173,999,30
116,219709,174,999,30
117,224134,175,999,30
118,228559,176,999,30
119,232984,177,999,30
120,237409,178,999,30
121,241834,179,999,30
122,246259,180,999,30
123,250684,181,999,30
124,255109,182,999,30
125,259534,183,999,30
126,263959,184,999,30
127,268384,185,999,30
128,272809,186,999,30
129,277234,187,999,30
130,281659,188,999,30
131,286084,189,999,30
132,290509,190,999,30
133,294934,191,999,30
134,299359,192,999,30
135,303784,193,999,30
136,308209,194,999,30
137,312634,195,999,30
138,317059,196,999,30
139,321484,197,999,30
140,325909,198,999,30
141,330334,199,999,30
142,334759,200,999,30
143,339184,201,999,30
144,343609,202,999,30
145,348034,203,999,30
146,352459,204,999,30
147,356884,205,999,30
148,361309,206,999,30
149,365734,207,999,30
150,370159,208,999,30
151,374584,209,999,30
152,379009,210,999,30
153,383434,211,999,30
154,387859,212,999,30
155,392284,213,999,30
156,396709,214,999,30
157,401134,215,999,30
158,405559,216,999,30
159,409984,217,999,30
160,414409,218,999,30
161,418834,219,999,30
162,423259,220,999,30
163,427684,221,999,30
164,432109,222,999,30
165,436534,223,999,30
166,440959,224,999,30
167,445384,225,999,30
168,449809,226,999,30
169,454234,227,999,30
170,458659,228,999,30
171,463084,229,999,30
172,467509,230,999,30
173,471934,231,999,30
