reward_group_id,reward_type_1,reward_id_1,reward_num_1,reward_type_2,reward_id_2,reward_num_2,reward_type_3,reward_id_3,reward_num_3,reward_type_4,reward_id_4,reward_num_4,reward_type_5,reward_id_5,reward_num_5
110001,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
110002,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
110003,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
110004,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
110005,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
120001,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
120002,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
120003,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
120004,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
120005,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
130001,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
130002,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
130003,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
130004,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
130005,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
140001,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
140002,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
140003,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
140004,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
140005,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
150001,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
150002,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
150003,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
150004,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
150005,8,91002,30,4,140000,1,0,0,0,0,0,0,0,0,0
