wac_id,date_id,bg_id,type,start_offset_x,end_offset_x
2816,11,1,1,-1480,-1480
2816,21,1,1,-1400,-1302
2816,31,1,1,-1302,-1263
2816,41,1,1,-1263,-1224
2816,51,1,1,-1224,-1185
2816,61,1,1,-1185,-1146
2816,71,1,1,-1146,-1146
2816,81,1,1,-1146,-1146
2816,91,1,1,-1146,-1107
2816,101,1,1,-1107,-1068
2816,111,1,1,-1068,-1029
2816,121,1,1,-1029,-1029
2816,131,1,1,-1029,-1029
2816,141,1,1,-1029,-1029
2816,151,1,1,-1029,-988
2816,161,1,1,-988,-947
2816,171,1,1,-947,-906
2816,181,1,1,-906,-865
2816,191,1,1,-865,-865
2816,201,1,1,-865,-865
2816,211,1,1,-865,-824
2816,221,1,1,-824,-783
2816,231,1,1,-783,-742
2816,241,1,1,-742,-701
2816,251,1,1,-701,-660
2816,261,1,1,-660,-619
2816,271,1,1,-619,-619
2816,281,1,1,-619,-619
2816,291,1,1,-619,-619
2816,301,1,1,-619,-578
2816,311,1,1,-578,-537
2816,321,1,1,-537,-496
2816,331,1,1,-496,-496
2816,341,1,1,-496,-496
2816,351,1,1,-496,-496
2816,361,1,1,-496,-455
2816,371,1,1,-455,-414
2816,381,1,1,-414,-373
2816,391,1,1,-373,-332
2816,401,1,1,-332,-332
2816,411,1,1,-332,-332
2816,421,1,1,-332,-200
2816,431,2,2,-1246,-1181
2816,441,2,2,-1181,-1152
2816,451,2,2,-1152,-1152
2816,461,2,2,-1152,-1123
2816,471,2,2,-1123,-1094
2816,481,2,2,-1094,-1094
2816,491,2,2,-1094,-1065
2816,501,2,2,-1065,-1065
2816,511,2,2,-1065,-1036
2816,521,2,2,-1036,-1036
2816,531,2,2,-1036,-1007
2816,541,2,2,-1007,-978
2816,551,2,2,-978,-978
2816,561,2,2,-978,-949
2816,571,2,2,-949,-920
2816,581,2,2,-920,-891
2816,591,2,2,-891,-862
2816,601,2,2,-862,-862
2816,611,2,2,-862,-862
2816,621,2,2,-862,-862
2816,631,2,2,-862,-833
2816,641,2,2,-833,-804
2816,651,2,2,-804,-775
2816,661,2,2,-775,-746
2816,671,2,2,-746,-717
2816,681,2,2,-717,-688
2816,691,2,2,-688,-659
2816,701,2,2,-659,-630
2816,711,2,2,-630,-601
2816,721,2,2,-601,-572
2816,731,2,2,-572,-543
2816,741,2,2,-543,-514
2816,751,2,2,-514,-449
2816,761,3,2,-1226,-1153
2816,771,3,2,-1153,-1115
2816,781,3,2,-1115,-1115
2816,791,3,2,-1115,-1077
2816,801,3,2,-1077,-1077
2816,811,3,2,-1077,-1039
2816,821,3,2,-1039,-1001
2816,831,3,2,-1001,-1001
2816,841,3,2,-1001,-963
2816,851,3,2,-963,-963
2816,861,3,2,-963,-963
2816,871,3,2,-963,-925
2816,881,3,2,-925,-887
2816,891,3,2,-887,-887
2816,901,3,2,-887,-887
2816,911,3,2,-887,-849
2816,921,3,2,-849,-811
2816,931,3,2,-811,-773
2816,941,3,2,-773,-735
2816,951,3,2,-735,-697
2816,961,3,2,-697,-659
2816,971,3,2,-659,-621
2816,981,3,2,-621,-583
2816,991,3,2,-583,-583
2816,1001,3,2,-583,-583
2816,1011,3,2,-583,-583
2816,1021,3,2,-583,-545
2816,1031,3,2,-545,-507
2816,1041,3,2,-507,-507
2816,1051,3,2,-507,-507
2816,1061,3,2,-507,-434
2816,1071,4,2,-1220,-1137
2816,1081,4,2,-1137,-1096
2816,1091,4,2,-1096,-1096
2816,1101,4,2,-1096,-1096
2816,1111,4,2,-1096,-1096
2816,1121,4,2,-1096,-1096
2816,1131,4,2,-1096,-1055
2816,1141,4,2,-1055,-1014
2816,1151,4,2,-1014,-1014
2816,1161,4,2,-1014,-1014
2816,1171,4,2,-1014,-1014
2816,1181,4,2,-1014,-973
2816,1191,4,2,-973,-932
2816,1201,4,2,-932,-891
2816,1211,4,2,-891,-891
2816,1221,4,2,-891,-891
2816,1231,4,2,-891,-891
2816,1241,4,2,-891,-850
2816,1251,4,2,-850,-809
2816,1261,4,2,-809,-809
2816,1271,4,2,-809,-809
2816,1281,4,2,-809,-768
2816,1291,4,2,-768,-727
2816,1301,4,2,-727,-686
2816,1311,4,2,-686,-686
2816,1321,4,2,-686,-645
2816,1331,4,2,-645,-604
2816,1341,4,2,-604,-563
2816,1351,4,2,-563,-522
2816,1361,4,2,-522,-439
